;Anio;Trimestre;Mbps (Media de bajada);id_provincia
245;2020;2;30,987577637139466;7
246;2020;2;22,15030606257576;6
247;2020;2;20,448621178442586;8
248;2020;2;16,870258993114398;9
249;2020;2;15,864013631862552;10
250;2020;2;8,028862255598405;11
251;2020;2;11,669110961977259;12
252;2020;2;9,274562732094155;13
253;2020;2;22,560122617583183;14
254;2020;2;29,100147623878513;15
255;2020;2;19,679596047283173;16
256;2020;2;22,55853618795662;17
257;2020;2;6,308614963196474;18
258;2020;2;21,02062693689071;19
259;2020;2;6,593202418178028;20
260;2020;2;23,925791608984095;21
261;2020;2;10,411619106122004;22
262;2020;2;8,128329395457266;23
263;2020;2;32,70453443718797;24
264;2020;1;45,18128807375552;1
265;2020;1;58,70568296242247;2
266;2020;1;29,132225012939607;3
267;2020;1;25,942049334121737;4
268;2020;1;7,117047781865397;5
269;2020;1;29,394787835061326;7
270;2020;1;20,538999274943325;6
271;2020;1;19,029765335057498;8
272;2020;1;15,697352607415109;9
273;2020;1;14,14492205715465;10
274;2020;1;7,291757720474826;11
275;2020;1;7,962418947150687;12
276;2020;1;8,440867710216997;13
277;2020;1;22,148213068436263;14
278;2020;1;27,76828207897622;15
279;2020;1;19,06030056406124;16
280;2020;1;21,425047243902736;17
281;2020;1;6,036984591484099;18
282;2020;1;20,989379744282658;19
283;2020;1;6,417170627364028;20
284;2020;1;22,42405677003625;21
285;2020;1;10,00053908049476;22
286;2020;1;7,410865837696335;23
287;2020;1;32,24553094303289;24
288;2019;4;30,769694141005864;1
289;2019;4;44,203178670085876;2
290;2019;4;24,878307670462615;3
291;2019;4;23,37495080016229;4
292;2019;4;6,994113523445059;5
293;2019;4;26,16228061451293;7
294;2019;4;19,255411607971407;6
295;2019;4;17,007580897657125;8
296;2019;4;14,525629551519327;9
297;2019;4;12,959200042804211;10
298;2019;4;6,526152195693043;11
299;2019;4;8,000880364029628;12
300;2019;4;7,785200889987086;13
301;2019;4;20,32034743574273;14
302;2019;4;26,01988431478295;15
303;2019;4;17,17699897385603;16
304;2019;4;19,08357302283381;17
305;2019;4;6,040171698468491;18
306;2019;4;20,690353422143115;19
307;2019;4;5,207925064069708;20
308;2019;4;20,54719701980728;21
309;2019;4;9,792201844355846;22
310;2019;4;7,27;23
311;2019;4;29,87038932431276;24
312;2019;3;25,679380143834067;1
313;2019;3;38,71410056071139;2
314;2019;3;9,293407429459826;3
315;2019;3;19,994668122685404;4
316;2019;3;6,966323588474291;5
317;2019;3;23,193402364939846;7
318;2019;3;16,69992255090861;6
319;2019;3;14,69513286650061;8
320;2019;3;13,22353748406198;9
321;2019;3;11,968240929924347;10
322;2019;3;5,719666464891041;11
323;2019;3;8,002375296912113;12
324;2019;3;6,10822854552147;13
325;2019;3;17,931522461372833;14
326;2019;3;23,74841515996666;15
327;2019;3;15,983718503999242;16
328;2019;3;14,746465244455523;17
329;2019;3;6,038229508650902;18
330;2019;3;19,743826982349614;19
331;2019;3;5,017746940956451;20
332;2019;3;18,165529686687883;21
333;2019;3;9,389413131426359;22
334;2019;3;6,690701380143412;23
335;2019;3;19,323994794580525;24
336;2019;2;22,480046018557395;1
337;2019;2;30,346259857091994;2
338;2019;2;8,81;3
339;2019;2;16,01024333099657;4
340;2019;2;6,054406893543786;5
341;2019;2;18,43151783191278;7
342;2019;2;13,833035083816176;6
343;2019;2;12,193357817950574;8
344;2019;2;10,836611219480826;9
345;2019;2;12,073382280507326;10
346;2019;2;5,492288321417966;11
347;2019;2;7,894163486005089;12
348;2019;2;6,02629690452623;13
349;2019;2;14,50130254739236;14
350;2019;2;17,242865250195976;15
351;2019;2;11,628050204319907;16
352;2019;2;12,548748750601563;17
353;2019;2;6,118522013069041;18
354;2019;2;19,875972848399364;19
355;2019;2;6,008047317560813;20
356;2019;2;15,074549058890282;21
357;2019;2;7,103112882966522;22
358;2019;2;6,34;23
359;2019;2;18,529317885920335;24
360;2019;1;19,643958224230506;1
361;2019;1;24,715063293849774;2
362;2019;1;7,964005155271879;3
363;2019;1;13,444236269077935;4
364;2019;1;5,891730569196159;5
365;2019;1;15,73486422864591;7
366;2019;1;12,049695550812029;6
367;2019;1;10,659197328953976;8
368;2019;1;9,825089957835713;9
369;2019;1;8,560464217465055;10
370;2019;1;5,057861842867403;11
371;2019;1;7,092792286992043;12
372;2019;1;5,742764175317399;13
373;2019;1;12,512773459683503;14
374;2019;1;15,884653263915219;15
375;2019;1;10,488420648136287;16
376;2019;1;10,377100013969459;17
377;2019;1;5,839263189429536;18
378;2019;1;8,708555188754593;19
379;2019;1;5,779992970397563;20
380;2019;1;12,986963477266004;21
381;2019;1;6,415070737969083;22
382;2019;1;6,341101450612301;23
383;2019;1;16,573299964579572;24
384;2018;4;16,934363010150058;1
385;2018;4;22,93530199223472;2
386;2018;4;8,043920202659912;3
387;2018;4;13,492083570210347;4
388;2018;4;6,085223903684034;5
389;2018;4;15,813667433629776;7
390;2018;4;12,138923393387724;6
391;2018;4;11,023282490376955;8
392;2018;4;9,816893711913803;9
393;2018;4;8,562737601752614;10
394;2018;4;4,319094957943483;11
395;2018;4;7,0933821251548945;12
396;2018;4;5,746675102434321;13
397;2018;4;12,495112674155788;14
398;2018;4;15,89123364607043;15
399;2018;4;10,487005565275494;16
400;2018;4;10,45728408913591;17
401;2018;4;5,715266539357845;18
402;2018;4;8,818992791900516;19
403;2018;4;5,1195073647728675;20
404;2018;4;13,179234899969483;21
405;2018;4;6,309255243851745;22
406;2018;4;7,436562008214025;23
407;2018;4;16,58323444553027;24
408;2018;3;16,77973513236217;1
409;2018;3;21,643368364061413;2
410;2018;3;7,806521941530631;3
411;2018;3;12,89496189060927;4
412;2018;3;6,076722322942862;5
413;2018;3;14,8182495375679;7
414;2018;3;11,493228365457123;6
415;2018;3;10,524753506287304;8
416;2018;3;9,318495441068285;9
417;2018;3;7,669872151814152;10
418;2018;3;4,283048376167659;11
419;2018;3;6,156013225626096;12
420;2018;3;5,786015677158131;13
421;2018;3;12,487485758721087;14
422;2018;3;14,674244286624784;15
423;2018;3;10,06446008106754;16
424;2018;3;9,265848177562406;17
425;2018;3;5,738204725877363;18
426;2018;3;8,814987579354126;19
427;2018;3;5,369715716600383;20
428;2018;3;12,357326043488575;21
429;2018;3;5,779842512369051;22
430;2018;3;5,98788374717833;23
431;2018;3;15,255950362488306;24
432;2018;2;14,679375512175804;1
433;2018;2;18,93813458927817;2
434;2018;2;7,693096507452943;3
