;Partido;Localidad;Link Indec;Otros;0,256 Mbps;0,375 Mbps;0,5 Mbps;0,512 Mbps;0,625 Mbps;0,75 Mbps;1 Mbps;1,25 Mbps;1,5 Mbps;2 Mbps;2,2 Mbps;2,5 Mbps;3 Mbps;3,3 Mbps;3,5 Mbps;4 Mbps;4,5 Mbps;5 Mbps;6 Mbps;6,4 Mbps;7 Mbps;7,5 Mbps;8 Mbps;9 Mbps;10 Mbps;10,2 Mbps;11 Mbps;12 Mbps;12,3 Mbps;13 Mbps;14 Mbps;15 Mbps;16 Mbps;17 Mbps;18 Mbps;20 Mbps;20,5 Mbps;21 Mbps;22 Mbps;23 Mbps;24 Mbps;25 Mbps;25,1 Mbps;25,5 Mbps;26 Mbps;27 Mbps;30 Mbps;31 Mbps;32 Mbps;34 Mbps;35 Mbps;36 Mbps;38 Mbps;39 Mbps;40 Mbps;41 Mbps;45 Mbps;46 Mbps;48 Mbps;49 Mbps;50 Mbps;50,1 Mbps;50,25 Mbps;51 Mbps;55 Mbps;58 Mbps;59 Mbps;60 Mbps;61 Mbps;62 Mbps;64 Mbps;65 Mbps;66 Mbps;70 Mbps;75 Mbps;78 Mbps;80 Mbps;83 Mbps;85 Mbps;90 Mbps;92 Mbps;95 Mbps;100 Mbps;100,25 Mbps;110 Mbps;120 Mbps;122 Mbps;125 Mbps;126 Mbps;130 Mbps;140 Mbps;150 Mbps;157 Mbps;158 Mbps;160 Mbps;164 Mbps;165 Mbps;180 Mbps;200 Mbps;212 Mbps;220 Mbps;225 Mbps;234 Mbps;240 Mbps;250 Mbps;256 Mbps;275 Mbps;300 Mbps;320 Mbps;325 Mbps;330 Mbps;340 Mbps;400 Mbps;450 Mbps;480 Mbps;500 Mbps;512 Mbps;520 Mbps;540 Mbps;600 Mbps;680 Mbps;700 Mbps;800 Mbps;850 Mbps;900 Mbps;950 Mbps;1000 Mbps;1024 Mbps;Total general;id_provincia
10;9 de Julio;12 de Octubre;6588030;;;;;;;;;;;;;;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,0;1
11;9 de Julio;9 de Julio;6588100;10206,0;;;;;;9,0;;;;;;;198,0;;114,0;;;154,0;;;235,0;;98,0;;37,0;;;;;;;121,0;;;;15,0;;;;;;;;;;;4,0;;;;;;;;;;;;;;617,0;;;;;;;;;;;;;;;;;;;;;;1323,0;;;;;;;;;;;;;;;;;;;;;;;;;1357,0;;;;;;;;38,0;;;;;;;;;;;2,0;;14528,0;1
12;9 de Julio;Alfredo Demarchi  (Est. Facundo Quiroga);6588010;;;;;;;;;;;;;;510,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;510,0;1
13;9 de Julio;Dudignac;6588040;;;;;;;;8,0;;;;;;25,0;;;247,0;;;46,0;;;;;;52,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;378,0;1
14;9 de Julio;Manuel B. Gonnet  (Est. French);6588060;;;;;;;;1,0;;;199,0;;;;;;;;;1,0;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203,0;1
15;9 de Julio;Patricios;6588110;81,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,0;1
16;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;118,0;;;;;;;;;;;;;42,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160,0;1
17;Adolfo Alsina;Carhué;6007010;;;;;;;;;;;;;;793,0;;20,0;;;;;;103,0;;36,0;;;;;;;;;1231,0;;;;;;;;;;;;;;;1,0;266,0;;;;;;;;;;;;;;;;;;;;;31,0;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2483,0;1
18;Adolfo Alsina;Colonia San Miguel Arcángel;6007020;;;;;;;;;;;;;;208,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208,0;1
19;Adolfo Alsina;Esteban Agustín Gascón;6007050;;;;;;;;;;;;;;60,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60,0;1
20;Adolfo Alsina;Maza;6007070;10,0;;;2,0;;;;;;;;;;;;;;;386,0;;;;;;;6,0;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;406,0;1
21;Adolfo Alsina;Rivera;6007080;;;;;;;;;;;;;;;;;;;;;;;;;;1155,0;;;;;;;;;;;23,0;;;;;;;;;;;24,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1202,0;1
22;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;;;;;;;3,0;;;;;;;;;147,0;;;;;;;;447,0;;122,0;;;1,0;;;;1045,0;;;;;;;;;;;;;;;44,0;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1810,0;1
23;Adolfo Gonzales Chaves;De la Garma;6014020;;;;;;;;;;;;;;;;;632,0;;;;;7,0;;28,0;;45,0;;;;;;;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;717,0;1
24;Adolfo Gonzales Chaves;Juan E. Barra;6014030;;;;;;;;;;;;;;;;;46,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,0;1
25;Adolfo Gonzales Chaves;Vásquez;6014040;;;;;;;;;;;;;;12,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,0;1
26;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;;;;;;;2,0;;;;4,0;;;;;40,0;;;7,0;;;;;116,0;;;;;;;;;302,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472,0;1
27;Alberti;Mechita;6021030;;;;;;;;;;;;;;275,0;;;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;285,0;1
28;Almirante Brown;Adrogué;6028010;;1,0;;10,0;1,0;;34,0;24,0;;;8,0;;;2,0;;63,0;7,0;;5,0;12,0;;;;37,0;;385,0;;;;;;;135,0;;;;6,0;;;;;;25,0;;;;;11557,0;;;;;;;;;;;;;;639,0;;;;;;;928,0;;;;;;;225,0;;;;;;;;3150,0;;;;;;;;;577,0;;;;;;;1,0;;;;;;;;;2755,0;;;;;;;;506,0;;;;;;;;;;;104,0;;21197,0;1
29;Almirante Brown;Burzaco;6028010;51,0;1,0;;9,0;1,0;;23,0;17,0;;;77,0;;;15,0;;34,0;115,0;;13,0;84,0;;;;30,0;;1054,0;;;;;;;60,0;;;;3,0;;;;;;51,0;;;;;11392,0;;;;;;;;;;;;;;390,0;;;;;;;4171,0;;;;;;;829,0;;;;;;;;4324,0;;;;;;;;;2243,0;;;;;;;;;;;;;;;;2537,0;;;;;;;;506,0;;;;;;;;;;;491,0;;28521,0;1
30;Almirante Brown;Claypole;6028010;;;;;;;2,0;7,0;;;;;;2,0;;3,0;;;1,0;40,0;;;;;;429,0;;;;;;;;;;;15,0;;;;;;22,0;;;;;4113,0;;;;;;;;;;;;;;107,0;;;;;;;2325,0;;;;;;;415,0;;;;;;;;1863,0;;;;;;;;;1215,0;;;;;;;;;;;;;;;;912,0;;;;;;;;179,0;;;;;;;;;;;190,0;;11840,0;1
31;Almirante Brown;Don Orione;6028010;;;;;;;;;;;;;;;;;;;1,0;;;;;;;377,0;;;;;;;;;;;;;;;;;27,0;;;;;3,0;;;;;;;;;;;;;;17,0;;;;;;;2090,0;;;;;;;387,0;;;;;;;;1002,0;;;;;;;;;1043,0;;;;;;;;;;;;;;;;211,0;;;;;;;;77,0;;;;;;;;;;;173,0;;5408,0;1
32;Almirante Brown;Glew;6028010;1,0;;;5,0;;;7,0;5,0;;;15,0;;;5,0;;27,0;29,0;;3,0;12,0;;;;16,0;;315,0;;;;;;;8,0;;;;;;;;;;43,0;;;;;11737,0;;;;;;;;;;;;;;172,0;;;;;;;2894,0;;;;;;;710,0;;;;;;;;1309,0;;;;;;;;;1374,0;;;;;;;;;;;;;;;;996,0;;;;;;;;187,0;;;;;;;;;;;249,0;;20119,0;1
33;Almirante Brown;Jose Mármol;6028010;;;;;;;;1,0;;;;;;;;2,0;;;1,0;16,0;;;;3,0;;422,0;;;;;;;;;;;18,0;;;;;;26,0;;;;;1383,0;;;;;;;;;;;;;;161,0;;;;;;;1559,0;;;;;;;334,0;;;;;;;;2036,0;;;;;;;;;1001,0;;;;;;;;;;;;;;;;1441,0;;;;;;;;299,0;;;;;;;;;;;147,0;;8850,0;1
34;Almirante Brown;Longchamps;6028010;1,0;;;1,0;;;3,0;;;;;;;3,0;;21,0;;;5,0;1,0;;;;4,0;;599,0;;;;;;;4,0;;;;1,0;;;;;;26,0;;;;;7433,0;;;;;;;;;;;;;;211,0;;;;;;;2512,0;;;;;;;612,0;;;;;;;;2470,0;;;;;;;;;1362,0;;;;;;;;;;;;;;;;1402,0;;;;;;;;284,0;;;;;;;;;;;192,0;;17147,0;1
35;Almirante Brown;Malvinas Argentinas;6028010;1,0;;;;;;;3,0;;;;;;;;;;;2,0;32,0;;;;;;136,0;;;;;;;;;;;3,0;;;;;;12,0;;;;;6,0;;;;;;;;;;;;;;88,0;;;;;;;1652,0;;;;;;;296,0;;;;;;;;1455,0;;;;;;;;;858,0;;;;;;;;;;;;;;;;617,0;;;;;;;;154,0;;;;;;;;;;;155,0;;5470,0;1
36;Almirante Brown;Ministro Rivadavia;6028010;;;;;;;;;;;;;;;;2,0;;;3,0;;;;;;;278,0;;;;;;;;;;;;;;;;;11,0;;;;;4094,0;;;;;;;;;;;;;;21,0;;;;;;;1334,0;;;;;;;249,0;;;;;;;;647,0;;;;;;;;;561,0;;;;;;;;;;;;;;;;239,0;;;;;;;;52,0;;;;;;;;;;;79,0;;7570,0;1
37;Almirante Brown;Rafael Calzada;6028010;;;;3,0;;;10,0;29,0;;;;;;99,0;;18,0;339,0;;11,0;59,0;;;;3,0;;635,0;;;;;;;9,0;;;;1,0;;;;;;22,0;;;;;9969,0;;;;;;;;;;;;;;155,0;;;;;;;3107,0;;;;;;;602,0;;;;;;;;2580,0;;;;;;;;;1607,0;;;;;;;;;;;;;;;;1325,0;;;;;;;;267,0;;;;;;;;;;;237,0;;21087,0;1
38;Almirante Brown;San Francisco Solano;6028010;1,0;;;1,0;;;4,0;9,0;;;;;;40,0;;21,0;;;;114,0;;;;;;120,0;;;;;;;1,0;;;;13,0;;;;;;4,0;;;;;3236,0;;;;;;;;;;;;;;21,0;;;;;;;1539,0;;;;;;;260,0;;;;;;;;1060,0;;;;;;;;;824,0;;;;;;;;;;;;;;;;285,0;;;;;;;;73,0;;;;;;;;;;;117,0;;7743,0;1
39;Almirante Brown;San Jose;6028010;;;;3,0;;;1,0;;;;;;;;;2,0;;;4,0;100,0;;;;;;472,0;;;;;;;;;;;56,0;;;;;;22,0;;;;;5,0;;;;;;;;;;;;;;58,0;;;;;;;3458,0;;;;;;;644,0;;;;;;;;2001,0;;;;;;;;;1687,0;;;;;;;;;;;;;;;;666,0;;;;;;;;162,0;;;;;;;;;;;209,0;;9550,0;1
40;AMBA;OTROS;Sin Datos;0,0;;;13,0;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,0;1
41;Arrecifes;Arrecifes;6077010;2,0;;;1,0;;;6,0;137,0;;;275,0;;;1009,0;;165,0;449,0;;;67,0;;;;285,0;;9,0;;;;;;;450,0;;;;3372,0;;;;;;;;;;;3,0;;;;;;;;;;;;;;850,0;;;;;;;;;;;;;;;;;;;;;;886,0;;;;;;;;;;;;;;;;;;;;;;;;;400,0;;;;;;;;27,0;;;;;;;;;;;;;8393,0;1
42;Arrecifes;Todd;6077020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,0;;;;;;;;138,0;;;;;;;;;;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304,0;1
43;Arrecifes;Viña;6077030;;;;;;;;;;;;;;110,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110,0;1
44;Avellaneda;Avellaneda;6035010;24,0;;;8,0;5,0;;43,0;43,0;;;1,0;;;33,0;;288,0;;;10,0;40,0;;;;397,0;;295,0;;;;;;;803,0;;;;69,0;;;;;;8,0;;;;;2896,0;;;;;;;;;;;;;;2634,0;;;;;;;712,0;;;;;;;188,0;;;;;;;;3409,0;;;;;;;;;398,0;;;;;;;1,0;;;;;;;;;3323,0;;;;;;;;590,0;;;;;;;;;;;86,0;;16304,0;1
45;Avellaneda;Crucesita;6035010;;;;;;;1,0;1,0;;;;;;1,0;;6,0;;;4,0;18,0;;;;3,0;;174,0;;;;;;;1,0;;;;24,0;;;;;;8,0;;;;;12,0;;;;;;;;;;;;;;2247,0;;;;;;;501,0;;;;;;;121,0;;;;;;;;2195,0;;;;;;;;;352,0;;;;;;;;;;;;;;;;1664,0;;;;;;;;313,0;;;;;;;;;;;72,0;;7718,0;1
46;Avellaneda;Dock Sud;6035010;2,0;;;1,0;;;5,0;6,0;;;;;;5,0;;;;;;269,0;;;;1,0;;58,0;;;;;;;;;;;270,0;;;;;23,0;1,0;;;;;4,0;;;;;;;;;;;;;;1309,0;;;;;;;215,0;;;;;;;52,0;;;;;;;;616,0;;;;;;;;;132,0;;;;;;;;;;;;;;;;132,0;;;;;;;;24,0;;;;;;;;;;;15,0;;3140,0;1
47;Avellaneda;Gerli;6035010;;;;1,0;;;2,0;2,0;;;;;;;;1,0;;;;;;;;;;403,0;;;;;;;;;;;16,0;;;;;;14,0;;;;;6,0;;;;;;;;;;;;;;3584,0;;;;;;;890,0;;;;;;;170,0;;;;;;;;2644,0;;;;;;;;;642,0;;;;;;;;;;;;;;;;1790,0;;;;;;;;267,0;;;;;;;;;;;86,0;;10518,0;1
48;Avellaneda;Pineyro;6035010;1,0;;;4,0;;;2,0;6,0;;;2,0;;;1,0;;4,0;;;8,0;;;;;2,0;;296,0;;;;;;;1,0;;;;14,0;;;;;;13,0;;;;;16,0;;;;;;;;1,0;;;;;;2012,0;;;;;;;784,0;;;;;;;148,0;;;;;;;;2169,0;;;;;;;;;613,0;;;;;;;;;;;;;;;;1871,0;;;;;;;;298,0;;;;;;;;;;;98,0;;8364,0;1
49;Avellaneda;Sarandí;6035010;5,0;;;12,0;1,0;;35,0;5,0;;;4,0;;;2,0;;215,0;;;14,0;28,0;;;;128,0;;453,0;;;;;;;1604,0;;;;86,0;;;;;;33,0;;;;;3399,0;;;;;;;;;;;;;;6612,0;;;;;;;1407,0;;;;;;;278,0;;;;;;;;4920,0;;;;;;;;;938,0;;;;;;;;;;;;;;;;3054,0;;;;;;;;478,0;;;;;;;;;;;179,0;;23890,0;1
50;Avellaneda;Villa Domínico;6035010;;;;5,0;;;8,0;14,0;;;18,0;;;142,0;;2,0;;;4,0;439,0;;;;3,0;;474,0;;;;;;;2,0;;;;71,0;;;;;;38,0;;;;;10,0;;;;;;;;;;;;;;5662,0;;;;;;;1993,0;;;;;;;377,0;;;;;;;;3566,0;;;;;;;;;1020,0;;;;;;;;;;;;;;;;2232,0;;;;;;;;359,0;;;;;;;;;;;146,0;;16585,0;1
51;Avellaneda;Wilde;6035010;33,0;;;5,0;;;32,0;7,0;;;3,0;;;6,0;;116,0;;;9,0;39,0;;;;261,0;;645,0;;;;;;;1663,0;;;;74,0;;;;;;33,0;;;;;3083,0;;;;;;;;1,0;;;;;;8030,0;;;;;;;1956,0;;;;;;;406,0;;;;;;;;5554,0;;;;;;;;;1352,0;;;;;;;;;;;;;;;;3864,0;;;;;;;;577,0;;;;;;;;;;;208,0;;27957,0;1
52;Ayacucho;Ayacucho;6042010;;;;;;;7,0;119,0;;;;;;;;109,0;;;;20,0;;;;752,0;;;;;;;;;1202,0;;;;;;;;;;;;;;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2212,0;1
53;Ayacucho;La Constancia;6042020;;;;;;;;;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,0;1
54;Ayacucho;Solanet;6042030;;;;;;;;17,0;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,0;1
55;Ayacucho;Udaquiola;6042040;;;;;1,0;;;31,0;;;14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,0;1
56;Azul;Azul;6049020;15,0;;;9,0;;;55,0;171,0;;;819,0;;;;;754,0;;;121,0;2,0;;;;951,0;;129,0;;;;;;;684,0;;;;13,0;;;;;;;;;;;15,0;;;;;;;;2,0;;;;;;1409,0;;;;;;;;;;;;;;;;;;;;;;6556,0;;;;;;;;;;;;;;;;;;;;;;;;;5564,0;;;;;;;;334,0;;;;;;;;;;;8,0;;17611,0;1
57;Azul;Cacharí;6049030;;;;;;;;;;;458,0;;;;;;;;56,0;5,0;;;;;;1,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;521,0;1
58;Azul;Chillar;6049040;;;;;1,0;;;;;;8,0;;;;;;545,0;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562,0;1
59;Bahía Blanca;Bahía Blanca;6056010;39,0;2,0;;19,0;1,0;;184,0;152,0;;;84,0;;;323,0;;1714,0;200,0;;349,0;427,0;;7,0;;2857,0;1,0;446,0;;3,0;58,0;;2,0;3,0;1264,0;3,0;2,0;;60,0;;1,0;;;;22,0;;;;;1614,0;;;;;;;;4,0;;;;;;26071,0;;;;;;59,0;;;;;;;;;;;;;;;;57356,0;;;;;;;;;2892,0;;;;;;;;;;;;;;;;23003,0;;;;;;;;1711,0;;;;;;;;;;;25,0;;120958,0;1
60;Bahía Blanca;Cabildo;6056020;6,0;;;;;;;;;;;;;;;;9,0;;1,0;153,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169,0;1
61;Bahía Blanca;General Daniel Cerri  (Est. General Cerri);6056030;;;;;;;2,0;;;;;;;;;24,0;;;;11,0;;;;48,0;;2,0;;;;;;;300,0;;;;3,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;75,0;;;;;;;;;;;;;;;;;;;;;;735,0;;;;;;;;;;;;;;;;;;;;;;;;;633,0;;;;;;;;37,0;;;;;;;;;;;2,0;;1873,0;1
62;Bahía Blanca;Ingeniero White;6056020;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,0;1
